min_adx,tp_mult,sl_mult,trades,wins,losses,win_rate,pf,total_pnl,avg_win,avg_loss
28,3.0,0.8,428,119,309,27.80373831775701,1.1381079901848945,10350.600000000035,716.7756302521008,242.54271844660178
30,3.0,0.8,362,99,263,27.348066298342545,1.1346526406128732,8535.20000000007,726.484848484849,241.0144486692014
28,2.5,1.0,429,141,288,32.86713286713287,1.1043717570089628,8142.500000000029,611.0418439716311,270.8833333333332
25,3.0,0.8,577,146,431,25.30329289428076,1.0997345977529953,9507.39999999979,718.0438356164375,221.17633410672875
28,2.5,0.8,458,138,320,30.131004366812224,1.0928842819727764,7050.399999999994,601.1275362318839,237.20374999999996
30,2.5,1.0,357,114,243,31.932773109243694,1.0855036100621178,5680.800000000061,632.6324561403513,273.41275720164606
28,3.0,1.0,407,121,286,29.72972972972973,1.0808198251079917,6443.700000000084,712.1727272727275,278.7734265734264
22,1.5,0.8,916,353,563,38.53711790393013,1.0770481060177,9523.29999999977,377.12549575070796,219.54174067495583
30,2.5,0.8,383,111,272,28.98172323759791,1.0707347362332655,4573.800000000047,623.7396396396401,237.72536764705885
30,3.0,1.0,345,100,245,28.985507246376812,1.069487031051745,4693.300000000061,722.3540000000005,275.6820408163265
