trade_num,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,duration_bars,scenario_id,tp_level,sl_level,result
1,2025-09-30 14:00:00,113545.9,2025-09-30 15:00:00,112984.33541313885,SL,-561.5645868611464,-0.49457055416456813,1,SCN_001_LONG_MOMENTUM_CORE,114949.81146715287,112984.33541313885,LOSS
2,2025-09-30 19:00:00,114314.7,2025-10-01 08:00:00,115910.90637768785,TP,1596.2063776878495,1.3963264371842374,13,SCN_002_LONG_MOMENTUM_HIGH_VOL,115910.90637768785,113676.21744892486,WIN
3,2025-10-01 12:00:00,116352.3,2025-10-01 16:00:00,118084.95297892812,TP,1732.6529789281194,1.4891437289405705,4,SCN_003_LONG_MOMENTUM_CLUSTER,118084.95297892812,115659.23880842875,WIN
4,2025-10-01 17:00:00,116736.9,2025-10-01 23:00:00,118623.21640612013,TP,1886.3164061201387,1.615869880149412,6,SCN_004_LONG_PULLBACK_CORE,118623.21640612013,115982.37343755194,WIN
5,2025-10-02 14:00:00,118743.2,2025-10-02 18:00:00,120494.53536789643,TP,1751.335367896434,1.4748931879016518,4,SCN_005_LONG_PULLBACK_LOW_VOLUME,120494.53536789643,118042.66585284143,WIN
6,2025-10-03 08:00:00,119979.0,2025-10-03 15:00:00,121607.07304433214,TP,1628.0730443321372,1.3569650058194662,7,SCN_006_LONG_BREAKOUT_CORE,121607.07304433214,119327.77078226714,WIN
7,2025-10-04 13:00:00,122335.1,2025-10-04 15:00:00,121779.85619594668,SL,-555.2438040533307,-0.45387121443750045,2,SCN_007_LONG_BREAKOUT_NEWS,123723.20951013331,121779.85619594668,LOSS
8,2025-10-05 16:00:00,123212.6,2025-10-06 14:00:00,125220.61684063378,TP,2008.0168406337762,1.6297171236008137,22,SCN_008_LONG_TRAP_RECLAIM_CORE,125220.61684063378,122409.39326374649,WIN
9,2025-10-06 16:00:00,125410.6,2025-10-06 21:00:00,124613.09305672001,SL,-797.5069432799937,-0.635916695462739,5,SCN_009_LONG_MEANREV_BALANCE,127404.3673582,124613.09305672001,LOSS
10,2025-10-13 13:00:00,115303.0,2025-10-13 14:00:00,114246.25099919183,SL,-1056.7490008081659,-0.9164974031969383,1,SCN_010_LONG_MOMENTUM_VAL_RETEST,117944.87250202041,114246.25099919183,LOSS
11,2025-10-13 16:00:00,114600.0,2025-10-14 03:00:00,113484.18848586897,SL,-1115.8115141310263,-0.9736575166937402,11,SCN_011_LONG_BREAKOUT_VAH,117389.52878532757,113484.18848586897,LOSS
12,2025-10-20 02:00:00,108716.6,2025-10-20 05:00:00,110670.74704790596,TP,1954.1470479059499,1.7974688758717157,3,SCN_012_LONG_ACCUM_POC_BOUNCE,110670.74704790596,107934.94118083763,WIN
13,2025-10-20 13:00:00,111129.4,2025-10-20 16:00:00,110358.35884299407,SL,-771.0411570059223,-0.6938228380661844,3,SCN_013_SHORT_MOMENTUM_CORE,113057.00289251479,110358.35884299407,LOSS
14,2025-10-21 14:00:00,112159.8,2025-10-21 20:00:00,110983.0831741362,SL,-1176.7168258637976,-1.0491431206758548,6,SCN_014_SHORT_MOMENTUM_HIGH_VOL,115101.59206465949,110983.0831741362,LOSS
15,2025-10-23 15:00:00,109866.2,2025-10-26 09:00:00,112217.25034114263,TP,2351.0503411426325,2.1399214145411714,66,SCN_015_SHORT_MOMENTUM_CLUSTER,112217.25034114263,108925.77986354295,WIN
16,2025-10-26 21:00:00,113451.1,2025-10-26 22:00:00,114759.20861733519,TP,1308.1086173351796,1.1530153672685233,1,SCN_016_SHORT_PULLBACK_CORE,114759.20861733519,112927.85655306594,WIN
17,2025-10-27 07:00:00,115517.8,2025-10-27 09:00:00,114795.7054999248,SL,-722.0945000751963,-0.6250937085671613,2,SCN_017_SHORT_PULLBACK_LOW_VOLUME,117323.03625018799,114795.7054999248,LOSS
18,2025-10-27 13:00:00,115216.2,2025-10-27 14:00:00,114497.08911826526,SL,-719.1108817347413,-0.6241404262028615,1,SCN_018_SHORT_BREAKOUT_CORE,117013.97720433683,114497.08911826526,LOSS
19,2025-10-28 14:00:00,115027.9,2025-10-28 19:00:00,114261.66849979969,SL,-766.2315002003015,-0.6661266529253351,5,SCN_019_SHORT_BREAKOUT_NEWS,116943.47875050077,114261.66849979969,LOSS
20,2025-11-02 11:00:00,111146.2,2025-11-02 13:00:00,110614.73086996598,SL,-531.46913003402,-0.4781712105623225,2,SCN_020_SHORT_DISTRIBUTION_EXHAUST,112474.87282508507,110614.73086996598,LOSS
