scenario_id,trades,wins,losses,win_rate,pf
SCN_015_SHORT_MOMENTUM_CLUSTER,1,1,0,100.0,2351.0503411426325
SCN_008_LONG_TRAP_RECLAIM_CORE,1,1,0,100.0,2008.0168406337762
SCN_012_LONG_ACCUM_POC_BOUNCE,1,1,0,100.0,1954.1470479059499
SCN_004_LONG_PULLBACK_CORE,1,1,0,100.0,1886.3164061201387
SCN_005_LONG_PULLBACK_LOW_VOLUME,1,1,0,100.0,1751.335367896434
SCN_003_LONG_MOMENTUM_CLUSTER,1,1,0,100.0,1732.6529789281194
SCN_006_LONG_BREAKOUT_CORE,1,1,0,100.0,1628.0730443321372
SCN_002_LONG_MOMENTUM_HIGH_VOL,1,1,0,100.0,1596.2063776878495
SCN_016_SHORT_PULLBACK_CORE,1,1,0,100.0,1308.1086173351796
SCN_001_LONG_MOMENTUM_CORE,1,0,1,0.0,0.0
SCN_007_LONG_BREAKOUT_NEWS,1,0,1,0.0,0.0
SCN_009_LONG_MEANREV_BALANCE,1,0,1,0.0,0.0
SCN_011_LONG_BREAKOUT_VAH,1,0,1,0.0,0.0
SCN_010_LONG_MOMENTUM_VAL_RETEST,1,0,1,0.0,0.0
SCN_014_SHORT_MOMENTUM_HIGH_VOL,1,0,1,0.0,0.0
SCN_013_SHORT_MOMENTUM_CORE,1,0,1,0.0,0.0
SCN_017_SHORT_PULLBACK_LOW_VOLUME,1,0,1,0.0,0.0
SCN_018_SHORT_BREAKOUT_CORE,1,0,1,0.0,0.0
SCN_019_SHORT_BREAKOUT_NEWS,1,0,1,0.0,0.0
SCN_020_SHORT_DISTRIBUTION_EXHAUST,1,0,1,0.0,0.0
