entry_time,exit_time,entry_price,exit_price,exit_reason,scenario,pnl_pct,pnl_usd,capital_after
2025-09-30 14:00:00,2025-09-30 15:00:00,113545.9,112984.25618090048,SL,SCN_015,-0.49464033408472735,-0.9892806681694547,9999.01071933183
2025-09-30 19:00:00,2025-10-01 11:00:00,114314.7,116708.52799212435,TP,SCN_012,2.094068385014659,4.187722445755094,10003.198441777586
2025-10-01 12:00:00,2025-10-02 00:00:00,116352.3,118950.72814182205,TP,SCN_008,2.2332417509770317,4.467912080697218,10007.666353858283
2025-10-02 14:00:00,2025-10-03 15:00:00,118743.2,121370.45551510973,TP,SCN_004,2.2125523946716386,4.428497231260787,10012.094851089545
2025-10-04 13:00:00,2025-10-04 15:00:00,122335.1,121779.73357117895,SL,SCN_005,-0.45397145121968807,-0.9090410458596576,10011.185810043686
2025-10-05 16:00:00,2025-10-07 15:00:00,123212.6,122409.3688740516,SL,SCN_015,-0.6519066442461341,-1.305271709270019,10009.880538334415
2025-10-13 13:00:00,2025-10-13 14:00:00,115303.0,114245.98460256722,SL,SCN_012,-0.9167284436942527,-1.8352684414945395,10008.04526989292
2025-10-13 16:00:00,2025-10-14 03:00:00,114600.0,113483.87810773321,SL,SCN_008,-0.9739283527633424,-1.9494238088175546,10006.095846084103
2025-10-20 02:00:00,2025-10-20 15:00:00,108716.6,111647.45511529043,TP,SCN_004,2.695867158548396,5.395021035349132,10011.490867119452
2025-10-20 16:00:00,2025-10-20 17:00:00,110640.9,109809.00053577108,SL,SCN_005,-0.7518914472215231,-1.5055108713847012,10009.985356248068
2025-10-21 14:00:00,2025-10-21 20:00:00,112159.8,110982.92195303975,SL,SCN_015,-1.0492868629939156,-2.1006692266145133,10007.884687021453
2025-10-23 15:00:00,2025-10-26 11:00:00,109866.2,113392.69149936723,TP,SCN_012,3.2098056539383615,6.424672970472922,10014.309359991927
2025-10-26 21:00:00,2025-10-26 22:00:00,113451.1,115412.511121442,TP,SCN_008,1.7288603825278002,3.4626685421734744,10017.7720285341
2025-10-27 08:00:00,2025-10-27 20:00:00,114999.9,114266.97837892556,SL,SCN_004,-0.637323702954902,-1.2769127129166788,10016.495115821184
2025-10-28 15:00:00,2025-10-28 19:00:00,114592.3,113804.418321371,SL,SCN_005,-0.6875520245505127,-1.3773722991566355,10015.117743522027
2025-11-02 11:00:00,2025-11-02 13:00:00,111146.2,110614.7149256958,SL,SCN_015,-0.47818555587523853,-0.9578169290684091,10014.159926592958
