trade_num,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,duration_bars,entry_atr,entry_adx,entry_rsi,tp_level,sl_level,result
1,2025-10-02 14:00:00,118743.2,2025-10-02 18:00:00,119910.75691193095,TAKE_PROFIT,1167.5569119309512,0.9832621252677637,4,583.778455965479,57.91562206935742,59.9099702632381,119910.75691193095,118042.66585284143,WIN
2,2025-10-03 08:00:00,119979.0,2025-10-03 15:00:00,121064.38202955476,TAKE_PROFIT,1085.382029554763,0.9046433372129814,7,542.6910147773805,36.49904916887841,56.771108286616254,121064.38202955476,119327.77078226714,WIN
3,2025-10-04 19:00:00,121921.9,2025-10-05 02:00:00,122779.566582748,TAKE_PROFIT,857.6665827480028,0.7034557226782087,7,428.83329137400034,22.298725256190743,53.15794230332052,122779.566582748,121407.30005035119,WIN
4,2025-10-05 11:00:00,123414.4,2025-10-05 19:00:00,122584.86080351956,STOP_LOSS,-829.5391964804294,-0.6721575411624814,8,691.2826637336909,34.66235737843317,53.80402057558141,124796.96532746738,122584.86080351956,LOSS
5,2025-10-06 14:00:00,124465.6,2025-10-06 18:00:00,125738.68008760236,TAKE_PROFIT,1273.0800876023568,1.022836902407056,4,636.5400438011814,22.332702236069046,59.398041897673444,125738.68008760236,123701.75194743859,WIN
6,2025-10-06 20:00:00,125140.0,2025-10-07 02:00:00,124293.35745087932,STOP_LOSS,-846.6425491206755,-0.6765562962447463,6,705.5354576005666,32.26476576568446,59.02514906817411,126551.07091520113,124293.35745087932,LOSS
7,2025-10-13 04:00:00,114673.5,2025-10-14 03:00:00,113512.95106591644,STOP_LOSS,-1160.548934083563,-1.0120463176615024,23,967.1241117363022,38.084390719886905,59.53809094287688,116607.7482234726,113512.95106591644,LOSS
8,2025-10-19 23:00:00,108597.3,2025-10-20 03:00:00,109765.67539051856,TAKE_PROFIT,1168.3753905185586,1.0758788575024965,4,584.1876952592819,24.247540922981056,58.06358216592468,109765.67539051856,107896.27476568887,WIN
9,2025-10-20 16:00:00,110640.9,2025-10-21 02:00:00,109809.25720774708,STOP_LOSS,-831.642792252911,-0.7516594606993536,10,693.0356602107629,32.56626351929255,59.772898754692015,112026.97132042152,109809.25720774708,LOSS
10,2025-10-21 20:00:00,110740.0,2025-10-21 22:00:00,109441.58208322388,STOP_LOSS,-1298.4179167761176,-1.1724922492108703,2,1082.0149306467679,28.858216581701587,53.200903323992,112904.02986129353,109441.58208322388,LOSS
11,2025-10-23 11:00:00,109208.6,2025-10-23 17:00:00,110742.1010400041,TAKE_PROFIT,1533.501040004092,1.404194394950665,6,766.7505200020441,20.70064457899542,55.45164999810138,110742.1010400041,108288.49937599755,WIN
12,2025-10-23 19:00:00,110139.0,2025-10-25 12:00:00,111837.68101473995,TAKE_PROFIT,1698.681014739952,1.5423065533007854,41,849.3405073699736,25.67563483815954,58.05528106761409,111837.68101473995,109119.79139115603,WIN
13,2025-10-25 14:00:00,111561.1,2025-10-26 09:00:00,112442.27677492447,TAKE_PROFIT,881.1767749244609,0.7898602424361726,19,440.588387462228,28.5615100245052,58.83148917014427,112442.27677492447,111032.39393504533,WIN
14,2025-10-27 12:00:00,115012.0,2025-10-27 21:00:00,114319.09905043952,STOP_LOSS,-692.9009495604842,-0.6024596994752583,9,577.4174579670691,51.649005652503156,58.99657969980138,116166.83491593415,114319.09905043952,LOSS
15,2025-10-28 09:00:00,114467.2,2025-10-28 19:00:00,113819.82207333903,STOP_LOSS,-647.3779266609636,-0.5655575803906827,10,539.4816055508047,22.013803204623805,52.46551626359641,115546.16321110161,113819.82207333903,LOSS
16,2025-11-02 12:00:00,110690.9,2025-11-02 15:00:00,110149.14437925411,STOP_LOSS,-541.7556207458838,-0.48943103791358084,3,451.46301728823477,21.20886731146211,55.62433040392862,111593.82603457646,110149.14437925411,LOSS
